rank,vx,vy,vz,base_label,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,junction_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_cluster_count,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score,total_score
110,11,-2,6,planar,planar,48,1.987432,0.072491,-1.654875,3.147316,-0.350957,0.301726,0.008577,0.269606,0.531063,0.441479,1,0.721753,0.000000,0.174906,-2.791501
111,9,2,-4,planar,planar,122,-3.628046,0.377615,-1.610851,2.815454,3.998124,0.883052,0.365129,0.666667,0.089461,1.626258,1,0.698436,0.000000,0.533939,-2.795560
112,3,4,-3,planar,planar,133,1.115305,-0.007091,-1.662975,3.148352,-0.595630,1.499691,0.000044,0.200791,0.536376,0.354262,2,0.869709,0.192562,0.187650,-2.799051
113,-2,-9,8,planar,planar,87,2.429004,0.165444,-1.766779,3.704082,0.650753,-0.576046,0.001915,0.350649,0.376434,0.654966,1,0.219726,0.000000,0.080268,-2.801705
114,17,-16,-4,planar,planar,34,1.025341,-0.273627,-1.595751,2.724319,1.818133,-1.075306,0.001456,0.333333,0.069442,0.768632,1,0.000000,0.000000,0.089067,-2.825530
115,12,0,-3,linear,linear,27,-3.689828,0.307874,-0.334222,1.799027,1.904615,0.784658,0.002719,0.333333,0.037299,0.770338,1,0.960223,0.000000,0.324168,-2.825930
116,-8,0,5,planar,planar,43,-6.965010,0.726286,-1.258221,1.703796,4.224571,2.136015,0.639061,0.333333,0.020262,1.629399,2,0.437755,0.332434,0.396973,-2.840154
117,0,-14,7,planar,planar,22,1.063656,-0.487885,-1.347103,2.213967,1.159221,-1.058916,0.036126,0.368421,0.245346,0.720699,1,0.000000,0.000000,0.100774,-2.884994
118,-4,7,-1,planar,planar,44,1.279639,-0.108580,-1.582408,2.639636,-0.566407,0.706243,0.017034,0.150398,0.491146,0.321767,1,0.789043,0.000000,0.184744,-2.911148
119,2,8,2,planar,planar,173,1.257094,-0.010441,-1.512133,2.245923,-0.479671,0.054012,0.004000,0.174090,0.465929,0.330232,1,0.587256,0.000000,0.147362,-2.937062
120,-13,-17,2,planar,planar,36,0.591406,-0.242082,-1.466935,2.218915,0.951056,-0.635601,0.031054,0.333333,0.279754,0.675256,1,0.125667,0.000000,0.141719,-3.021071
121,11,-10,5,planar,planar,26,-1.926422,0.011849,-1.419712,2.240495,1.848693,0.653013,0.002237,0.333333,0.058553,0.769686,2,0.189606,0.203954,0.099821,-3.073074
122,-3,-12,8,linear,linear,17,-4.330850,0.636870,-0.402464,1.793710,3.115243,-0.375278,0.107833,0.666667,0.074718,1.278908,1,0.192748,0.000000,0.229559,-3.150188
123,7,1,5,linear,linear,35,-11.620031,1.671020,-0.229102,1.625637,3.961572,4.565113,0.481929,0.674419,0.105278,1.659132,3,0.446884,0.736583,0.824439,-3.277064
124,0,9,-2,linear,linear,74,-9.303855,1.270061,-0.328939,1.612590,3.929695,2.715750,0.403796,0.791667,0.142194,1.682625,2,0.655150,0.317712,0.624458,-3.329878
125,7,4,-1,planar,planar,201,0.340958,-0.340783,-1.545918,2.409361,0.089798,0.358743,0.001070,0.387546,0.482507,0.561078,1,0.757587,0.000000,0.242240,-3.506564
126,-2,11,4,planar,planar,35,-3.567494,0.846645,-1.589602,2.735583,2.568005,0.893882,0.000706,0.666667,0.139028,1.134287,1,0.921449,0.000000,0.368842,-3.584146
127,3,7,0,planar,planar,230,0.798604,-0.262745,-1.562982,2.518434,-0.453569,0.374378,0.001994,0.206480,0.489905,0.363153,1,0.767963,0.000000,0.196440,-3.624748
128,1,9,3,planar,planar,141,-1.293717,0.166757,-1.570864,2.621518,1.424188,0.189561,0.012769,0.547325,0.313181,0.885963,1,0.549944,0.000000,0.288913,-3.705593
129,17,-15,-6,planar,planar,35,1.929355,-0.430930,-1.575374,2.671502,0.096249,-1.114446,0.010392,0.024390,0.249161,0.307525,1,0.000000,0.000000,0.061110,-3.766648
130,-16,-13,2,planar,planar,33,-2.119131,0.062725,-1.424978,2.246839,1.083201,0.824092,0.000886,0.409357,0.272514,0.718155,1,0.999447,0.000000,0.260768,-3.820931
131,8,1,1,planar,planar,43,-4.874218,1.286745,-1.278197,2.186493,2.661154,0.491115,0.000829,0.666667,0.102671,1.134452,1,0.482119,0.000000,0.332832,-3.899895
132,19,-13,-5,planar,planar,33,1.854840,0.253094,-1.685671,3.286337,0.106076,-1.165661,0.000651,0.060606,0.273040,0.334212,1,0.000000,0.000000,0.024528,-3.923660
133,-11,-18,2,planar,planar,29,-0.791228,0.074853,-1.610795,3.284646,2.177220,-0.522881,0.100220,0.333333,0.067183,0.901963,1,0.251446,0.000000,0.166486,-3.957476
134,12,0,-2,planar,planar,70,-1.507641,0.099091,-1.625335,2.924097,1.122315,0.856008,0.001554,0.473118,0.331000,0.789194,1,0.973123,0.000000,0.329972,-3.979658
135,2,8,1,planar,planar,183,-1.322753,-0.165834,-1.524794,2.270987,0.968217,0.312187,0.000072,0.396334,0.301577,0.702732,1,0.654909,0.000000,0.303300,-4.003964
136,9,-7,6,planar,planar,55,-8.066268,1.142489,-1.379303,2.212048,4.527021,1.972995,0.277296,1.000000,0.123531,1.874349,2,0.902536,0.188248,0.508239,-4.015113
137,-6,-8,9,planar,planar,25,-1.496844,0.075414,-1.366179,2.239471,1.351980,-0.364675,0.097085,0.347826,0.231734,0.780340,1,0.365258,0.000000,0.102520,-4.039775
138,-2,11,2,planar,planar,84,-2.516127,0.323753,-1.590188,2.701958,1.817338,0.592443,0.001078,0.333333,0.069223,0.768122,1,0.692744,0.000000,0.317787,-4.074740
139,14,-2,-6,linear,linear,21,-2.329762,0.614978,-0.461863,1.796411,1.060000,-1.187556,0.000000,0.000000,0.000000,0.400000,1,0.000000,0.000000,0.008889,-4.100614
140,-5,13,0,planar,planar,21,-0.078296,0.207024,-1.781692,3.728822,1.060000,0.181049,0.000000,0.000000,0.000000,0.400000,0,0.000000,0.000000,0.129320,-4.140737
141,4,-7,-4,planar,planar,47,0.975953,-0.363378,-1.444738,2.243529,-0.049942,-1.143903,0.011413,0.283231,0.432571,0.460294,1,0.000000,0.000000,0.040069,-4.269537
142,15,-2,-1,linear,linear,18,-3.837324,1.005974,-0.481466,1.797391,1.877894,-1.075258,0.001885,0.333333,0.046608,0.769211,1,0.000000,0.000000,0.089101,-4.307571
143,-5,-2,4,linear,linear,27,-14.264424,2.324050,-0.254705,1.749067,4.428216,5.169601,0.689127,0.333333,0.010641,1.696988,4,0.553506,0.824732,0.824582,-4.346327
144,-3,-11,8,planar,planar,29,0.974675,-0.204914,-1.582958,2.770766,-0.065816,-0.704931,0.022386,0.320598,0.496906,0.516212,1,0.182568,0.000000,0.044436,-4.354711
145,16,-17,-4,planar,planar,16,0.083067,0.210866,-1.745259,3.677188,1.850744,-1.083665,0.017275,0.333333,0.078846,0.789987,1,0.000000,0.000000,0.083096,-4.361436
146,-6,-1,-1,planar,planar,95,0.788132,-0.322634,-1.293669,2.246836,-0.186902,-1.127368,0.000899,0.192337,0.367626,0.346117,1,0.000000,0.000000,0.051880,-4.389279
147,-4,6,-1,planar,planar,59,0.507120,-0.125372,-1.626988,2.915825,-0.666547,0.420531,0.000219,0.161538,0.519562,0.311321,1,0.748656,0.000000,0.180584,-4.407082
148,-3,8,2,linear,linear,48,-10.713678,1.995264,-0.383207,1.758819,2.120438,4.290018,0.134305,0.510288,0.168312,1.009296,3,0.454371,0.733628,0.637961,-4.449984
149,-7,-4,-1,planar,planar,75,1.909592,0.538354,-1.719073,3.497634,-0.546943,-1.156465,0.008636,0.224851,0.556841,0.392328,1,0.000000,0.000000,0.031096,-4.472169
150,11,-1,6,planar,planar,27,-4.201394,0.241909,-1.414489,2.205700,2.736951,0.295936,0.030855,0.666667,0.115072,1.174988,1,0.599595,0.000000,0.318062,-4.546787
151,7,4,0,planar,planar,177,0.150768,-0.344496,-1.432288,2.248865,-0.605952,-0.119808,0.000396,0.104275,0.430587,0.248570,1,0.531623,0.000000,0.116752,-4.600642
