rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,total_score
0,4,-3,-1,volumetric,193,2.785246,0.287700,1.350097,0.199947,-0.946931,0.362529,0.513761,0.065644,1.321218,3.276164
1,6,13,0,volumetric,36,2.835336,0.329004,1.318980,0.132549,-1.110116,0.520785,0.736434,0.064483,1.779804,3.240655
2,6,14,1,corner_like,26,2.641705,-0.082174,0.776490,0.270888,-0.529874,0.257801,0.666667,0.065514,1.481365,2.535259
3,4,-1,-1,corner_like,310,2.601651,0.051998,0.912959,0.196657,-0.926513,0.635071,0.392982,0.058838,1.556293,2.443438
4,4,-2,-1,volumetric,168,2.395232,0.131032,1.083355,0.486083,-1.903601,0.329043,0.477535,0.190089,1.102830,1.219936
5,1,-1,-2,corner_like,1646,1.960966,-0.324566,1.019528,0.217410,-1.241769,0.397907,0.679092,0.108368,1.550843,1.196749
6,6,5,2,volumetric,58,2.172327,-0.256479,1.019555,0.179061,-1.704289,0.113634,0.382525,0.179207,0.707518,1.052053
7,6,7,2,volumetric,35,1.004453,-0.146068,1.115927,0.231046,-0.812084,0.843240,0.408163,0.020695,1.854020,0.931181
8,6,6,2,corner_like,60,2.121384,-0.056270,0.398543,0.344801,-1.200929,0.349893,0.415771,0.150310,1.196370,0.917928
9,6,2,2,corner_like,161,2.762012,0.246134,0.644436,0.354662,-2.510957,0.022491,0.435669,0.392541,0.642931,0.786963
10,6,-2,0,corner_like,160,2.104318,-0.215324,0.721290,0.198831,-1.677730,0.452482,0.435880,0.170354,1.223652,0.733724
11,6,3,2,corner_like,154,2.653074,0.183945,0.619811,0.351833,-2.509671,0.027247,0.469982,0.392113,0.687098,0.595326
12,6,8,2,corner_like,38,1.648937,-0.752185,0.795565,0.191866,-0.916940,0.685026,0.503876,0.055647,1.745716,0.583512
13,6,-2,1,corner_like,275,2.879421,0.398547,0.191258,0.593394,-2.400417,0.090424,0.133429,0.411250,0.402177,0.475415
14,6,12,-1,corner_like,35,2.575320,-0.056109,0.092861,0.560220,-1.656858,0.298088,0.822917,0.246731,1.574294,0.394994
15,6,-2,-1,corner_like,68,0.446755,0.048354,0.745707,0.275631,-0.603274,0.731711,1.000000,0.034425,2.487809,0.361911
16,6,0,2,corner_like,147,2.253954,-0.006639,0.599817,0.221404,-2.394423,0.084623,0.468237,0.353696,0.762635,0.231307
