rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,total_score
80,-3,11,6,corner_like,38,-5.463686,0.820407,0.859947,0.247664,1.913062,0.068476,0.333333,0.033758,0.859110,-2.117935
81,6,-13,3,linear,16,-3.925097,1.010872,-0.658036,1.780378,3.164809,0.240010,0.666667,0.070325,1.457346,-2.187830
82,-8,-7,8,planar,34,2.552528,0.257942,-1.864226,2.123363,-1.018318,0.017769,0.194155,0.444784,0.370892,-2.195438
83,5,-2,4,linear,37,-1.860668,0.241046,-0.506485,1.765911,1.656484,0.358996,0.124088,0.096318,0.887807,-2.235533
84,12,-2,-1,linear,21,-5.062323,1.694950,-0.318400,1.791675,3.173277,0.036371,1.000000,0.099839,1.549101,-2.304171
85,-5,11,3,planar,49,2.437178,-0.012929,-2.033048,2.673449,-0.039615,0.050497,0.051282,0.236226,0.391248,-2.321862
86,3,-8,4,planar,46,0.126091,-0.139718,-1.829807,2.073317,1.514337,0.239095,0.413502,0.221971,1.044297,-2.402414
87,-1,11,7,planar,19,-1.296226,0.377982,-1.783207,2.228174,2.512489,0.494817,0.363636,0.138211,1.334670,-2.417136
88,2,6,-2,planar,64,1.947717,0.362791,-1.599173,2.248597,-1.010472,0.000068,0.144291,0.381795,0.292145,-2.547734
89,4,-13,4,planar,16,-0.106566,-0.018102,-1.587534,1.811421,0.940402,0.277049,0.021277,0.144558,0.664087,-2.583221
90,6,-16,1,planar,15,1.845921,-0.025640,-2.234404,3.180688,1.000000,0.000000,0.000000,0.000000,0.400000,-2.594812
91,-11,-6,8,planar,22,0.219949,0.241941,-1.432797,2.245104,0.598656,0.017270,0.342857,0.213586,0.667124,-2.617355
92,6,-5,2,planar,93,0.778354,-0.544858,-1.576083,1.325112,0.026789,0.057137,0.566667,0.440835,0.833801,-2.640910
93,-2,-9,-2,linear,32,-1.600179,0.341896,-0.368168,1.799986,0.779693,0.000215,0.375000,0.167369,0.679457,-2.646743
94,0,-11,8,linear,24,-4.952595,2.516013,-0.296238,1.785379,1.759843,0.022458,0.333333,0.033114,0.796985,-2.758356
95,0,-8,4,planar,162,-2.388852,0.360925,-1.870916,2.112397,3.084955,0.241479,0.666667,0.096422,1.459331,-2.926286
96,-1,-8,-2,linear,43,-0.158711,-0.226765,-0.287279,1.799968,-0.453896,0.005540,0.173837,0.241224,0.332033,-2.926620
97,3,10,-2,linear,15,-1.888258,-0.008547,-0.282680,1.799998,1.000000,0.000000,0.000000,0.000000,0.400000,-2.979483
98,5,-13,4,planar,22,-3.474898,1.008915,-1.582500,2.154620,3.167375,0.249705,0.666667,0.079604,1.470435,-3.035728
99,-10,-7,8,planar,30,2.382606,-0.337148,-2.268932,3.357766,0.494437,0.017988,0.460606,0.346033,0.797617,-3.086803
100,-4,11,3,planar,45,1.317601,-0.482559,-1.727386,2.219569,0.004605,0.035146,0.044248,0.200726,0.362786,-3.107307
101,-11,-5,8,planar,18,-1.251559,0.010233,-1.864459,2.234278,2.199527,0.004571,0.666667,0.122841,1.139505,-3.140537
102,12,-3,0,planar,45,-2.842669,0.861015,-1.500105,2.108905,2.360242,0.028854,0.666667,0.098607,1.172286,-3.230423
103,-8,-10,6,planar,27,-1.621109,0.495526,-1.609243,2.240917,1.654281,0.009769,0.333333,0.052417,0.779855,-3.321462
104,-10,2,8,planar,25,-3.329818,1.623083,-1.659643,2.225872,2.262212,0.009452,0.666667,0.108622,1.146093,-3.330037
105,6,4,1,planar,212,2.534593,-0.004734,-2.078967,2.636007,-1.162173,0.066146,0.144858,0.497572,0.381975,-3.347289
106,-8,-11,8,planar,15,1.032702,-0.587714,-1.582690,2.232989,0.002057,0.021019,0.042735,0.185560,0.342050,-3.368634
107,-3,11,3,planar,64,1.307673,-0.228292,-1.967509,2.484528,-0.113086,0.018849,0.065476,0.237978,0.364136,-3.485741
